horizon,model,forecast_step,lead_minutes,MAE,RMSE,MAPE
24h,Ridge,69,1035,25.745729847602966,33.17107163757258,15.634227519910704
24h,Ridge,70,1050,25.913606308635995,33.294267317437196,15.746706469109043
24h,Ridge,71,1065,25.89872572711974,33.30766969589546,15.735833461271875
24h,Ridge,72,1080,25.891970691391016,33.35453460504166,15.678864336690035
24h,Ridge,73,1095,25.908900507259247,33.40326795509449,15.682365035245956
24h,Ridge,74,1110,25.995696285828412,33.51242015391622,15.663380132046086
24h,Ridge,75,1125,26.0179753445587,33.55883195879479,15.63408573293026
24h,Ridge,76,1140,26.095036132335,33.66746780425255,15.625706416362483
24h,Ridge,77,1155,26.10040310821414,33.77072832292189,15.536751117220525
24h,Ridge,78,1170,26.187053206091626,33.92794457457773,15.486606222243413
24h,Ridge,79,1185,26.209354219996854,34.03745129451242,15.410963794460617
24h,Ridge,80,1200,26.26182466859066,34.06892728974982,15.35872503967522
24h,Ridge,81,1215,26.245974480047188,34.03024590287188,15.323420433852764
24h,Ridge,82,1230,26.191969118090793,33.96843991746169,15.283003596041839
24h,Ridge,83,1245,26.040996005629438,33.89526719479239,15.209855117261458
24h,Ridge,84,1260,25.715683812179662,33.68629294689766,15.049873489263527
24h,Ridge,85,1275,25.236578620096626,33.368722575157065,14.825029103567843
24h,Ridge,86,1290,24.600362369716507,32.84267729176091,14.498973311155119
24h,Ridge,87,1305,23.708302446199188,32.06308288568645,14.067356461921099
24h,Ridge,88,1320,22.39807900816216,30.880845211029655,13.438560649662792
24h,Ridge,89,1335,21.00404191335033,29.34492760694614,12.797545699089715
24h,Ridge,90,1350,19.010499603959875,27.11539251766127,11.799291960116934
24h,Ridge,91,1365,17.04370576260305,24.94862448740087,10.74701955062453
24h,Ridge,92,1380,15.313607732035667,23.089159121131768,9.806265076204337
24h,Ridge,93,1395,15.029100769572537,22.77145886724618,9.697035045346867
24h,Ridge,94,1410,14.859342707279222,22.502221528240323,9.620500026931605
24h,Ridge,95,1425,14.599994834106319,22.12613771803345,9.486105195741477
24h,Ridge,96,1440,14.383238122519169,21.82022382473713,9.327976113276584
24h,LightGBM,1,15,11.335941451774056,16.231724769416147,8.1616294756956
24h,LightGBM,2,30,12.476289722211627,17.700158596289363,8.680378200941167
24h,LightGBM,3,45,13.172701893370151,18.749221726899464,9.124219551214042
24h,LightGBM,4,60,13.882989413188914,19.572782846731748,9.55517960590507
24h,LightGBM,5,75,14.170294817647193,19.96374876706041,9.657943127459376
24h,LightGBM,6,90,14.252327182328823,20.382585415515546,9.670395896898336
24h,LightGBM,7,105,14.86462419846132,21.11384758529106,10.112140139163568
24h,LightGBM,8,120,15.665660234339919,22.221284526508207,10.4966621883479
24h,LightGBM,9,135,15.606075639249042,22.050231317528542,10.515765656308988
24h,LightGBM,10,150,15.919023714353253,22.42928524154855,10.782163634663656
24h,LightGBM,11,165,16.08960636230364,22.67909969230177,10.882906412003438
24h,LightGBM,12,180,16.33070692368674,23.08751881130625,11.010538620385297
24h,LightGBM,13,195,16.19923758565206,22.87058442125063,10.97053045289617
24h,LightGBM,14,210,16.641235474637806,23.752514753712408,11.338786723474291
24h,LightGBM,15,225,16.960881584418726,24.420252180974302,11.499591408483067
24h,LightGBM,16,240,17.380937650672962,25.120527399480906,11.703848967239324
